profile,dataset_position,sample_index,scan_index,slice_index,change_extent,original_accel_dims,sampling_mode,requested_r,effective_r,phase_encode_dim,input_samples,sampled_samples,center_samples,mask_seed,method,runtime_seconds,shared_prior_fit_seconds,amortized_runtime_seconds,stage1_iterations,stage2_iterations,psnr,ssim,nmse,change_cosine,change_gain,mi_prior_ref,mi_prior_recon,mi_prior_delta,laps_psnr,laps_ssim,laps_gain,magnitude_mae,magnitude_rmse,magnitude_nrmse,magnitude_error_max,relative_data_error
paper,106,106,1,0,1,1,1D,3.0,2.942857142857143,1,115,70,22,1117163922,Registered prior,0.0,0.0,0.0,,,19.54519046362797,0.7019967687514331,0.5371725559234619,0.14977251880879833,0.023527274642022106,0.48374217390817403,4.228668538171621,3.744926364263447,17.643131256103516,0.651246190071106,1.0474774390918915,0.0458628911516664,0.10537504784452593,0.7329204951174023,1.0618517845869064,1.227441668510437
paper,106,106,1,0,1,1,1D,3.0,2.942857142857143,1,115,70,22,1117163922,Zero-filled,0.0,0.0,0.0,,,24.757214235963723,0.8019019748006412,0.16177499294281006,0.8498135762664517,0.783721840810934,0.48374217390817403,0.46278941675799357,-0.020952757150180468,21.950305938720703,0.7505993843078613,1.339146493401324,0.027585006551731222,0.05782779020709663,0.4022126062771916,0.9805520176887512,0.39051002264022827
paper,106,106,1,0,1,1,1D,3.0,2.942857142857143,1,115,70,22,1117163922,CG-SENSE,0.04918413585983217,0.0,0.04918413585983217,15.0,,22.160301638846992,0.7623857628090814,0.29417285323143005,0.7725447099736229,0.7909735131552991,0.48374217390817403,0.3555815362944475,-0.12816063761372654,24.049888610839844,0.7634035348892212,1.1086762623852786,0.03854655830317664,0.07797981958317386,0.5423770536492762,0.9805520176887512,0.34209588170051575
paper,106,106,1,0,1,1,1D,3.0,2.942857142857143,1,115,70,22,1117163922,Ours: magnitude-phase residual,90.26282732398249,55.62172085093334,101.38717149416917,1000.0,3000.0,22.90038201958054,0.7904316911757228,0.24808160960674286,0.7908216191881304,0.7747128116393317,0.48374217390817403,0.6025300901229531,0.11878791621477908,23.90298843383789,0.774280309677124,1.1516988288390806,0.03386577945722521,0.07161074729354329,0.4980779172650922,0.9805520176887512,0.3490297496318817
paper,106,106,1,0,1,1,1D,3.0,2.942857142857143,1,115,70,22,1117163922,LAPS-NeRP (released),94.6060654129833,0.0,94.6060654129833,773.0,383.0,28.191324986427833,0.837181328343296,0.0733669176697731,0.9317918388276213,0.8566104827687862,0.48374217390817403,0.4942805885213573,0.010538414613183278,25.082115173339844,0.7885440587997437,1.4506372397408307,0.018640798449628942,0.0389431483151676,0.2708632843203572,0.9805520176887512,0.39993318915367126
paper,106,106,1,0,1,1,1D,3.0,2.942857142857143,1,115,70,22,1117163922,LAPS-NeRP (+scale output),94.6060654129833,0.0,94.6060654129833,773.0,383.0,22.898194993905147,0.8055282802694752,0.24820655584335327,0.7796408080695184,0.7368955284236782,0.48374217390817403,0.4997734743948436,0.016031300486669564,25.095062255859375,0.7883495092391968,1.1383410523417674,0.03449077838365997,0.07162878060190146,0.49820334526309407,0.9805520176887512,0.3443659245967865
paper,106,106,1,0,1,1,1D,5.0,4.790697674418604,1,115,43,16,652102320,Registered prior,0.0,0.0,0.0,,,19.54519046362797,0.7019967687514331,0.5371725559234619,0.14977251880879833,0.023527274642022106,0.48374217390817403,4.228668538171621,3.744926364263447,17.643131256103516,0.651246190071106,1.0474774390918915,0.0458628911516664,0.10537504784452593,0.7329204951174023,1.0618517845869064,1.2207379341125488
paper,106,106,1,0,1,1,1D,5.0,4.790697674418604,1,115,43,16,652102320,Zero-filled,0.0,0.0,0.0,,,22.990470664698435,0.7477215313886298,0.2429884970188141,0.7778179149019493,0.7326934460572384,0.48374217390817403,0.4020658361140821,-0.08167633779409195,19.854251861572266,0.6949697732925415,1.300874409150369,0.03342942587786477,0.07087185086641419,0.4929386329061332,0.9805520176887512,0.3482097089290619
paper,106,106,1,0,1,1,1D,5.0,4.790697674418604,1,115,43,16,652102320,CG-SENSE,0.04199055698700249,0.0,0.04199055698700249,15.0,,21.11196160833093,0.7149014051309281,0.37448692321777344,0.7180767540321974,0.7517601147449454,0.48374217390817403,0.3217744857821872,-0.16196768812598683,21.625986099243164,0.7048236131668091,1.0760453306572597,0.04377417657178593,0.0879830935007784,0.6119533397099292,0.9805520176887512,0.2929511070251465
paper,106,106,1,0,1,1,1D,5.0,4.790697674418604,1,115,43,16,652102320,Ours: magnitude-phase residual,92.10913012293167,55.62172085093334,103.23347429311835,1000.0,3000.0,20.52776792072568,0.7286420548594921,0.42840641736984253,0.6081214491260232,0.5563720796041741,0.48374217390817403,0.8149718875508792,0.3312297136427052,21.583616256713867,0.7191725969314575,1.0397046433992165,0.044244555900122474,0.0941041793545333,0.6545276432700033,0.9805520176887512,0.2979358434677124
