profile,dataset_position,sample_index,scan_index,slice_index,change_extent,original_accel_dims,sampling_mode,requested_r,effective_r,phase_encode_dim,input_samples,sampled_samples,center_samples,mask_seed,method,runtime_seconds,shared_prior_fit_seconds,amortized_runtime_seconds,stage1_iterations,stage2_iterations,psnr,ssim,nmse,change_cosine,change_gain,mi_prior_ref,mi_prior_recon,mi_prior_delta,laps_psnr,laps_ssim,laps_gain,magnitude_mae,magnitude_rmse,magnitude_nrmse,magnitude_error_max,relative_data_error
quick,53,53,0,53,1,2,2D,10.0,9.997748761819,-1,7745,2221,441,1833509473,Registered prior,0.0,0.0,0.0,,,17.423082879488046,0.6503104150877168,0.18012911081314087,0.09956738676977073,0.01449462613488404,0.9028248685050138,4.580121774314161,3.677296905809148,18.961294174194336,0.6589183211326599,0.8693872168634665,0.07175691522165009,0.13453720874254374,0.4244162003778052,0.8929332792758942,1.6970213651657104
quick,53,53,0,53,1,2,2D,10.0,9.997748761819,-1,7745,2221,441,1833509473,Zero-filled,0.0,0.0,0.0,,,24.211936408717193,0.6837130401132125,0.037731021642684937,0.8999647139460464,0.918031540368525,0.9028248685050138,0.8259709691368173,-0.07685389936819642,23.33086395263672,0.675291895866394,1.0866643539305163,0.0316949110990056,0.06157433576084746,0.19424474365612582,0.5602555274963379,0.09821616113185883
quick,53,53,0,53,1,2,2D,10.0,9.997748761819,-1,7745,2221,441,1833509473,CG-SENSE,0.04693021182902157,0.0,0.04693021182902157,15.0,,27.584680582917215,0.7919203773175543,0.01735498011112213,0.9532833768079828,0.9194817245484271,0.9028248685050138,0.8449771445781018,-0.057847723926911954,27.891033172607422,0.7760006189346313,1.057432296201576,0.02401776900065591,0.041760196076006686,0.13173830430455669,0.48838940262794495,0.05914979800581932
quick,53,53,0,53,1,2,2D,10.0,9.997748761819,-1,7745,2221,441,1833509473,Ours: magnitude-phase residual,5.5795325939543545,3.413067155983299,6.717221645948787,100.0,200.0,21.237216224496883,0.6717952037236127,0.07484633475542068,0.8398271778193972,0.9005046837118837,0.9028248685050138,0.7532804475829221,-0.14954442092209164,20.920732498168945,0.6631894111633301,1.01614387770977,0.042960938049598885,0.08672329000986917,0.2735805921221852,1.044494390487671,0.08605436235666275
quick,53,53,0,53,1,2,2D,10.0,9.997748761819,-1,7745,2221,441,1833509473,Current-only complex INR,3.90329153300263,0.0,3.90329153300263,,200.0,19.364460402972274,0.6114436914732071,0.11519832909107208,0.7500058093408765,0.8568783502537003,0.9028248685050138,0.5456017088488904,-0.3572231596561234,19.838045120239258,0.6116802096366882,0.9472424199445599,0.05824458699287241,0.10759040369760477,0.3394087833488094,0.7929868698120117,0.059363607317209244
quick,53,53,0,53,1,2,2D,10.0,9.997748761819,-1,7745,2221,441,1833509473,LAPS-NeRP (released),4.018562000943348,0.0,4.018562000943348,25.0,25.0,24.303718404083714,0.683819335997732,0.036941997706890106,0.9060223283109374,0.9556110245275041,0.9028248685050138,0.8719179940627759,-0.03090687444223783,23.47184181213379,0.6758988499641418,1.1832195224928042,0.03164757735403981,0.06092711809767605,0.1922030061770447,0.5320054665207863,0.15630437433719635
quick,53,53,0,53,1,2,2D,10.0,9.997748761819,-1,7745,2221,441,1833509473,LAPS-NeRP (+scale output),4.018562000943348,0.0,4.018562000943348,25.0,25.0,24.722360631995237,0.6878465762420963,0.033547189086675644,0.9080973538243782,0.9029545780354312,0.9028248685050138,0.868087916191928,-0.03473695231308571,23.931398391723633,0.6758624315261841,1.0806901694444153,0.02925727649172152,0.058060199695230394,0.1831589162443655,0.6626915708184242,0.09851419180631638
quick,53,53,0,53,1,2,2D,20.0,19.986498649864988,-1,7745,1111,317,873894661,Registered prior,0.0,0.0,0.0,,,17.423082879488046,0.6503104150877168,0.18012911081314087,0.09956738676977073,0.01449462613488404,0.9028248685050138,4.580121774314161,3.677296905809148,18.961294174194336,0.6589183211326599,0.8693872168634665,0.07175691522165009,0.13453720874254374,0.4244162003778052,0.8929332792758942,1.6882896423339844
quick,53,53,0,53,1,2,2D,20.0,19.986498649864988,-1,7745,1111,317,873894661,Zero-filled,0.0,0.0,0.0,,,23.181864281690633,0.6374697405563433,0.047830596566200256,0.8766700620782568,0.9130339145043683,0.9028248685050138,0.7949974461459095,-0.10782742235910425,22.347333908081055,0.6324354410171509,1.0757054635741237,0.035915049091469836,0.06932714923165803,0.2187020641719392,0.612816572189331,0.08194249868392944
quick,53,53,0,53,1,2,2D,20.0,19.986498649864988,-1,7745,1111,317,873894661,CG-SENSE,0.04121879814192653,0.0,0.04121879814192653,15.0,,26.25148044938009,0.7503775526379328,0.023590877652168274,0.935789588347985,0.900646435708625,0.9028248685050138,0.8494903776995328,-0.053334490805480916,26.25570297241211,0.7335737347602844,1.0540519503538786,0.02753459476841349,0.048688067291689785,0.15359323057773122,0.48838940262794495,0.04549945890903473
