trial,requested_r,effective_r,trainable_parameters,best_psnr,best_ssim,best_iteration,objective_psnr,final_psnr,final_minus_best_db,change_cosine,change_gain,mi_prior_delta,aligned_rmse,data_error_raw,prior_scale,bound_saturation,runtime_seconds
current_default,6,5.818181818181818,79298,27.367088317871094,0.8082172870635986,499,26.82460594177246,25.622346878051758,-1.744741439819336,0.8914308574225869,0.8111941153053561,0.06071604482045734,0.02996252846522419,0.09995311498641968,1.0,0.0,83.67490150197409
current_default,9,8.533333333333333,79298,25.66678810119629,0.7685980200767517,999,25.040138244628906,23.916316986083984,-1.7504711151123047,0.8357690589360004,0.7545408737651814,0.10680750268705252,0.036441260051621474,0.08265925198793411,1.0,0.0,83.36245935410261
stable_cosine,6,5.818181818181818,79298,28.075103759765625,0.8192527294158936,599,27.398101806640625,27.39821434020996,-0.6768894195556641,0.9086681733431174,0.833971150931463,0.09920857956573981,0.02761707196193938,0.10245611518621445,1.0,0.0,88.3324475910049
stable_cosine,9,8.533333333333333,79298,26.770296096801758,0.7932485342025757,699,26.284326553344727,26.283639907836914,-0.48665618896484375,0.8736110584372905,0.7756626085933677,0.13230544950950818,0.032093566007775194,0.08536932617425919,1.0,0.0,87.8225918461103
low_lr,6,5.818181818181818,79298,28.089048385620117,0.8205791711807251,1099,27.848012924194336,27.847835540771484,-0.2412128448486328,0.9087420805975136,0.8335028794726417,0.12074064473630153,0.027572763134350177,0.10310745239257812,1.0,0.0,85.1367846429348
low_lr,9,8.533333333333333,79298,26.882198333740234,0.799484372138977,1199,26.722429275512695,26.72211265563965,-0.16008567810058594,0.8764161918860677,0.7817912612052297,0.16013546338878948,0.0316827531306454,0.08644136786460876,1.0,0.0,88.0422380969394
stronger_change,6,5.818181818181818,79298,27.717220306396484,0.8140498399734497,799,27.28852081298828,27.28788948059082,-0.42933082580566406,0.8989191844290774,0.8035321961960394,0.2761715477803566,0.0287787392408625,0.10634806752204895,1.0,0.0,98.4684199320618
stronger_change,9,8.533333333333333,79298,26.68332290649414,0.7987557649612427,799,26.378419876098633,26.3786678314209,-0.3046550750732422,0.8689502024668475,0.7553276431366108,0.26755557041986067,0.032416537226399415,0.08794067800045013,1.0,0.0,98.24547607009299
scale_and_bound,6,5.818181818181818,79299,26.493701934814453,0.8176628351211548,1099,26.346250534057617,26.34615135192871,-0.1475505828857422,0.8635556242817232,0.7484734250460412,0.11814433427822801,0.03313200299653241,0.09991774708032608,1.1558693647384644,0.0036163330078125,95.0832893459592
scale_and_bound,9,8.533333333333333,79299,25.653554916381836,0.7954150438308716,999,25.475292205810547,25.475290298461914,-0.17826461791992188,0.8312990147933399,0.6967431063241615,0.17126767350368555,0.03649682699624333,0.0837353989481926,1.1572359800338745,0.0032501220703125,95.49399167019874
cg_phase_scale,6,5.818181818181818,79299,26.33782958984375,0.8137838840484619,1199,26.211231231689453,26.210786819458008,-0.1270427703857422,0.8580754028702658,0.7466469083230212,0.1133629364144999,0.03373193761008996,0.09969539195299149,1.1558458805084229,0.003814697265625,95.31450362410396
cg_phase_scale,9,8.533333333333333,79299,25.377601623535156,0.7853984832763672,1299,25.249414443969727,25.249818801879883,-0.12778282165527344,0.8202922425449329,0.6827026217454569,0.17387083804654435,0.03767494924349988,0.0830598697066307,1.159284234046936,0.0030059814453125,95.06376533815637
