delta_width,trainable_parameters,total_parameters_including_frozen_prior,best_psnr,best_ssim,best_iteration,objective_checkpoint_psnr,final_psnr,final_minus_best_db,change_cosine,mi_prior_delta,runtime_seconds
64,29634,293828,26.550792694091797,0.7899850606918335,1699,26.52620506286621,26.526390075683594,-0.024402618408203125,0.866192958269414,0.13047433272242093,87.1746841929853
128,79298,343492,26.770296096801758,0.7932485342025757,699,26.284326553344727,26.283639907836914,-0.48665618896484375,0.8736110584372905,0.13230544950950818,87.31488757999614
256,276930,541124,26.611862182617188,0.7900470495223999,599,25.495105743408203,25.495338439941406,-1.1165237426757812,0.8687871662249298,0.11885649647634478,87.9094629290048
512,1065410,1329604,26.07981300354004,0.7777495980262756,399,24.71271324157715,24.712493896484375,-1.367319107055664,0.8514381390951701,0.09927303336030091,173.3995740020182
